#{"t_start": 1790206915.9220726, "env_id": "None"}
r,l,t
174.194063,119,21.873599
261.992912,104,36.006934
-104.16089,135,71.310502
249.251155,100,84.974445
-138.838112,144,104.613912
-176.718012,109,123.365132
-215.083885,161,144.73282
-68.354283,125,161.679783
-165.292063,138,181.962178
-66.303108,125,199.37695
-176.242183,142,219.693708
260.325731,101,236.198269
217.172484,114,253.379161
259.043386,102,270.859408
213.855184,114,291.926342
-187.306846,112,308.198048
-220.294716,73,318.346384
-52.244825,124,338.001506
209.311599,114,357.279485
-62.729665,124,374.024082
-98.481711,142,392.643173
-215.608989,118,408.875212
-163.082503,162,432.408123
-63.654149,124,455.108481
-170.154051,132,472.828699
-110.449176,123,490.965018
-142.746189,136,509.207361
-55.3608,125,526.754281
-167.294507,153,548.795033
256.534387,105,570.496711
-279.868331,139,588.782422
-54.39952,128,606.633278
-177.683203,150,627.174052
-97.014695,124,644.462822
209.529907,117,660.420632
-58.206259,123,678.871258
-232.054999,138,698.059098
-76.773082,126,715.804242
-159.390448,137,734.849065
-189.110356,113,750.67579
-103.68236,140,769.842188
-90.286452,128,791.654299
-88.891083,137,822.474866
-268.745471,131,851.751197
-144.415166,140,870.655422
-50.77611,127,889.646143
-172.910317,136,907.744151
-61.147231,126,924.792099
-305.195032,142,943.753135
-53.066603,125,976.405737
193.238069,123,992.830996
-63.345374,121,1011.583148
-99.333268,135,1029.593679
-66.06011,122,1048.155982
215.434343,115,1064.52674
257.228657,103,1081.761773
-116.902112,138,1105.319927
-190.369815,108,1124.31194
-124.371072,135,1141.882727
260.678351,102,1157.920105
-129.041829,138,1177.230602
-98.852186,122,1194.576231
-244.033097,138,1213.319565
250.39186,101,1234.412143
-111.281651,143,1255.524991
-137.086931,120,1272.720657
-284.280546,134,1291.003744
252.297788,101,1305.755758
-228.10843,114,1321.354301
251.520946,99,1335.125086
-267.222678,200,1361.602465
235.729112,99,1375.456456
-187.198222,144,1398.428941
258.447247,103,1413.711317
-88.46885,129,1431.049786
-61.309341,127,1448.331172
187.124801,113,1463.497025
-57.612475,120,1484.5275
-120.729691,126,1503.041048
-142.699531,125,1525.673372
-121.072705,135,1546.247086
-199.690084,123,1563.355542
-488.648507,173,1586.027866
-55.931195,123,1610.65846
-326.754412,131,1628.070794
260.383223,102,1649.390959
-155.264518,133,1671.860738
-49.206103,119,1690.344139
-124.759553,137,1709.140939
255.703965,105,1725.830233
-257.500693,159,1753.078526
257.193828,102,1767.206189
-204.568683,138,1785.391568
-165.308498,123,1802.114802
-230.557499,140,1824.407687
-69.239567,123,1841.784509
-152.053932,138,1861.178999
-117.282998,138,1880.109538
-216.954244,154,1900.452911
-58.424432,124,1916.670341
-187.121972,129,1937.728339
261.187445,99,1951.213521
-311.544689,136,1987.533798
261.594681,99,2013.052314
216.995046,110,2030.347756
-51.01886,124,2047.088275
-163.905474,139,2073.746125
-59.504278,121,2090.922497
202.925347,114,2105.979209
246.497416,103,2136.835376
-164.154473,133,2161.458089
-49.047738,125,2192.411744
217.100229,112,2214.449387
249.839339,101,2253.903547
-150.250649,146,2274.247951
-61.476688,121,2291.207619
-95.990597,134,2309.02583
-96.319916,125,2326.011086
-103.937786,138,2344.920004
-60.324178,121,2362.024954
-133.699713,140,2380.435561
-226.958682,121,2396.646888
-154.234106,139,2414.890824
-53.419607,123,2431.485463
-256.306774,200,2462.800365
250.126532,100,2477.98479
-153.940108,141,2497.651362
261.61464,101,2511.569835
179.068446,116,2527.628087
249.784723,100,2543.34157
-177.253389,138,2566.439821
-199.946369,127,2583.697371
-176.090837,138,2609.209413
261.636372,100,2622.941728
-269.464392,131,2650.232062
-131.129255,120,2666.546752
-328.578365,152,2695.29023
-55.491248,120,2712.329212
200.95108,115,2727.921492
-266.929373,125,2750.540109
-391.130358,158,2772.339162
-178.491861,122,2800.821042
173.438847,117,2821.685107
-239.066598,118,2838.192312
-345.141766,155,2859.178199
-62.928167,120,2875.309115
-81.172472,134,2894.897033
-128.847954,123,2927.56621
-196.382577,138,2947.88412
-55.291436,126,2969.217271
-143.748695,130,2986.307798
-51.580226,124,3014.54832
-93.765981,133,3032.227068
257.628654,104,3046.423868
210.115981,110,3063.338122
-58.235704,123,3087.469346
-160.695412,151,3112.635582
-57.051089,124,3132.716421
-143.31851,140,3171.741212
-106.068572,125,3189.239841
208.745396,113,3235.117412
-184.03618,113,3250.121576
-84.091344,137,3278.248448
-52.090301,124,3300.915652
-108.689601,136,3318.978656
248.749679,103,3333.201955
161.405823,117,3348.952535
-166.194503,126,3366.100791
-309.293397,132,3383.462954
-58.335994,123,3405.490922
197.76355,113,3435.153025
-52.919983,122,3468.952674
-255.422203,118,3502.151226
-49.895659,124,3527.189832
-116.645773,142,3553.278736
-180.130078,109,3571.333667
-206.71994,136,3593.992214
-192.614429,106,3608.583846
140.073636,119,3625.027045
-53.114196,122,3641.329013
-203.556477,135,3667.654506
-62.01381,121,3685.286703
-259.434844,105,3706.453714
251.752935,101,3720.262066
-106.660029,137,3738.312443
248.343324,101,3769.087821
-182.340639,132,3821.381961
-65.9161,121,3837.7075
-309.501433,138,3857.340569
-49.252185,124,3873.922454
-221.461176,137,3892.091765
244.318679,104,3908.596284
-184.38898,132,3925.916609
-177.720246,124,3942.549515
-160.581178,140,3961.312432
-51.352417,119,3978.835194
-114.984596,133,3996.484552
